Ward,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F
254,12076,64804,34725,30079,9106,4901,4205,7040,3745,3295,0,0,0,46954,26778,20176,17850,7947,9903,19352,17828,1524,18683,17472,1211,36,33,3,50,43,7,913,758,155,17684,16638,1046,669,356,313,13,9,4,5,3,2,154,30,124,497,314,183,549,297,252,13,9,4,5,3,2,118,24,94,413,261,152,120,59,61,0,0,0,0,0,0,36,6,30,84,53,31,45452,16897,28555
253,10418,54676,29023,25653,7338,3958,3380,8795,4596,4199,0,0,0,41493,23381,18112,13183,5642,7541,16155,14654,1501,15295,14078,1217,27,23,4,26,21,5,640,542,98,14602,13492,1110,860,576,284,6,4,2,6,6,0,136,38,98,712,528,184,598,385,213,6,4,2,1,1,0,95,28,67,496,352,144,262,191,71,0,0,0,5,5,0,41,10,31,216,176,40,38521,14369,24152
252,11289,65412,34390,31022,8229,4389,3840,4548,2354,2194,0,0,0,50496,27841,22655,14916,6549,8367,19489,17750,1739,18676,17230,1446,28,28,0,43,39,4,875,806,69,17730,16357,1373,813,520,293,6,5,1,10,10,0,93,45,48,704,460,244,674,438,236,4,3,1,7,7,0,75,39,36,588,389,199,139,82,57,2,2,0,3,3,0,18,6,12,116,71,45,45923,16640,29283
251,10000,58009,31040,26969,7978,4185,3793,7384,3843,3541,0,0,0,41227,23415,17812,16782,7625,9157,17786,16348,1438,16719,15539,1180,75,71,4,86,81,5,888,830,58,15670,14557,1113,1067,809,258,16,9,7,31,29,2,100,49,51,920,722,198,947,715,232,16,9,7,28,26,2,89,43,46,814,637,177,120,94,26,0,0,0,3,3,0,11,6,5,106,85,21,40223,14692,25531
250,9371,58062,30608,27454,7963,4049,3914,7308,3786,3522,0,0,0,36529,20685,15844,21533,9923,11610,17816,15974,1842,16039,14614,1425,32,27,5,34,33,1,959,859,100,15014,13695,1319,1777,1360,417,15,12,3,14,13,1,66,48,18,1682,1287,395,1609,1230,379,15,12,3,10,9,1,60,44,16,1524,1165,359,168,130,38,0,0,0,4,4,0,6,4,2,158,122,36,40246,14634,25612
249,8694,56384,29495,26889,8146,4195,3951,118,64,54,0,0,0,39792,21677,18115,16592,7818,8774,16501,15470,1031,16000,15180,820,19,17,2,10,10,0,1844,1690,154,14127,13463,664,501,290,211,4,3,1,0,0,0,82,26,56,415,261,154,399,226,173,4,3,1,0,0,0,66,18,48,329,205,124,102,64,38,0,0,0,0,0,0,16,8,8,86,56,30,39883,14025,25858
248,10950,59802,31022,28780,7033,3700,3333,9711,4977,4734,0,0,0,45557,24636,20921,14245,6386,7859,18813,16464,2349,18085,15975,2110,21,15,6,25,19,6,1210,1147,63,16829,14794,2035,728,489,239,13,8,5,13,10,3,77,45,32,625,426,199,636,425,211,9,5,4,4,1,3,68,39,29,555,380,175,92,64,28,4,3,1,9,9,0,9,6,3,70,46,24,40989,14558,26431
247,11610,59448,31390,28058,6381,3553,2828,5958,3088,2870,0,0,0,47461,25755,21706,11987,5635,6352,19174,16669,2505,18365,16116,2249,18,14,4,29,25,4,1302,1201,101,17016,14876,2140,809,553,256,6,3,3,7,6,1,40,18,22,756,526,230,721,494,227,6,3,3,7,6,1,33,15,18,675,470,205,88,59,29,0,0,0,0,0,0,7,3,4,81,56,25,40274,14721,25553
246,11742,60997,32253,28744,6873,3768,3105,13758,7233,6525,0,0,0,48938,27091,21847,12059,5162,6897,18613,16327,2286,17824,15759,2065,5,5,0,28,25,3,533,468,65,17258,15261,1997,789,568,221,13,8,5,7,5,2,43,25,18,726,530,196,673,479,194,13,8,5,3,1,2,35,21,14,622,449,173,116,89,27,0,0,0,4,4,0,8,4,4,104,81,23,42384,15926,26458
245,11054,60734,32076,28658,7202,3919,3283,19491,10228,9263,0,0,0,47466,26405,21061,13268,5671,7597,18465,16283,2182,17667,15689,1978,29,24,5,31,27,4,360,311,49,17247,15327,1920,798,594,204,16,6,10,4,4,0,46,18,28,732,566,166,676,506,170,15,6,9,4,4,0,42,17,25,615,479,136,122,88,34,1,0,1,0,0,0,4,1,3,117,87,30,42269,15793,26476
244,11690,68639,36047,32592,9909,5117,4792,22092,11578,10514,0,0,0,43629,25137,18492,25010,10910,14100,20538,18096,2442,18651,16802,1849,18,14,4,35,32,3,691,544,147,17907,16212,1695,1887,1294,593,17,10,7,51,43,8,217,136,81,1602,1105,497,1578,1106,472,15,9,6,49,41,8,182,127,55,1332,929,403,309,188,121,2,1,1,2,2,0,35,9,26,270,176,94,48101,17951,30150
243,9672,54424,28626,25798,6950,3697,3253,28574,14874,13700,0,0,0,38894,22309,16585,15530,6317,9213,15911,14419,1492,14238,13093,1145,8,7,1,40,33,7,332,264,68,13858,12789,1069,1673,1326,347,25,14,11,18,14,4,69,22,47,1561,1276,285,1435,1141,294,25,14,11,15,11,4,52,16,36,1343,1100,243,238,185,53,0,0,0,3,3,0,17,6,11,218,176,42,38513,14207,24306
242,11976,61730,32666,29064,8220,4329,3891,11753,6153,5600,0,0,0,40649,22997,17652,21081,9669,11412,19011,15746,3265,17385,14499,2886,40,34,6,30,25,5,323,259,64,16992,14181,2811,1626,1247,379,25,12,13,13,13,0,27,14,13,1561,1208,353,1437,1097,340,23,10,13,8,8,0,20,11,9,1386,1068,318,189,150,39,2,2,0,5,5,0,7,3,4,175,140,35,42719,16920,25799
241,10978,50557,26468,24089,4813,2611,2202,9825,5185,4640,0,0,0,42061,22686,19375,8496,3782,4714,17888,13989,3899,17028,13419,3609,50,44,6,82,64,18,483,435,48,16413,12876,3537,860,570,290,28,18,10,38,35,3,54,30,24,740,487,253,750,483,267,27,17,10,38,35,3,42,25,17,643,406,237,110,87,23,1,1,0,0,0,0,12,5,7,97,81,16,32669,12479,20190
240,11156,55045,28634,26411,6505,3433,3072,7526,3846,3680,0,0,0,42069,22954,19115,12976,5680,7296,17970,14635,3335,16868,13834,3034,17,15,2,55,41,14,530,456,74,16266,13322,2944,1102,801,301,9,6,3,10,10,0,39,24,15,1044,761,283,979,714,265,8,6,2,10,10,0,25,17,8,936,681,255,123,87,36,1,0,1,0,0,0,14,7,7,108,80,28,37075,13999,23076
239,10333,48420,25593,22827,4966,2585,2381,8058,4348,3710,0,0,0,36917,20316,16601,11503,5277,6226,16715,13793,2922,15933,13217,2716,11,10,1,15,12,3,234,206,28,15673,12989,2684,782,576,206,3,2,1,5,2,3,31,23,8,743,549,194,658,490,168,3,2,1,5,2,3,26,21,5,624,465,159,124,86,38,0,0,0,0,0,0,5,2,3,119,84,35,31705,11800,19905
238,11833,58291,30921,27370,6482,3488,2994,10642,5521,5121,0,0,0,46453,25608,20845,11838,5313,6525,19376,16801,2575,18801,16397,2404,26,24,2,41,35,6,667,587,80,18067,15751,2316,575,404,171,7,2,5,5,4,1,32,17,15,531,381,150,448,312,136,7,2,5,3,3,0,22,10,12,416,297,119,127,92,35,0,0,0,2,1,1,10,7,3,115,84,31,38915,14120,24795
237,11000,54093,28378,25715,5642,3065,2577,12951,6636,6315,0,0,0,44487,24065,20422,9606,4313,5293,18049,15269,2780,17775,15089,2686,13,11,2,15,13,2,598,494,104,17149,14571,2578,274,180,94,8,5,3,3,1,2,15,5,10,248,169,79,236,157,79,8,5,3,3,1,2,13,4,9,212,147,65,38,23,15,0,0,0,0,0,0,2,1,1,36,22,14,36044,13109,22935
236,9955,50293,26791,23502,5748,3081,2667,4871,2568,2303,0,0,0,40149,22109,18040,10144,4682,5462,16304,14548,1756,15917,14324,1593,16,14,2,36,30,6,760,659,101,15105,13621,1484,387,224,163,5,3,2,12,3,9,42,19,23,328,199,129,315,182,133,5,3,2,8,3,5,36,15,21,266,161,105,72,42,30,0,0,0,4,0,4,6,4,2,62,38,24,33989,12243,21746
235,12056,62376,33256,29120,7597,4093,3504,5472,2895,2577,0,0,0,48310,26787,21523,14066,6469,7597,19966,17952,2014,19410,17629,1781,22,19,3,35,32,3,952,861,91,18401,16717,1684,556,323,233,14,9,5,3,1,2,43,24,19,496,289,207,475,268,207,14,9,5,3,1,2,37,23,14,421,235,186,81,55,26,0,0,0,0,0,0,6,1,5,75,54,21,42410,15304,27106
234,7908,41179,21872,19307,4853,2639,2214,5046,2633,2413,0,0,0,31336,17164,14172,9843,4708,5135,13662,12071,1591,12880,11533,1347,68,49,19,78,57,21,1226,1141,85,11508,10286,1222,782,538,244,1,1,0,15,13,2,64,31,33,702,493,209,632,432,200,1,1,0,14,12,2,42,22,20,575,397,178,150,106,44,0,0,0,1,1,0,22,9,13,127,96,31,27517,9801,17716
233,7800,43408,23060,20348,6089,3189,2900,5452,2803,2649,0,0,0,29181,16415,12766,14227,6645,7582,12980,11848,1132,12253,11291,962,40,32,8,177,134,43,1138,1051,87,10898,10074,824,727,557,170,7,5,2,13,11,2,77,48,29,630,493,137,617,487,130,7,5,2,13,11,2,60,42,18,537,429,108,110,70,40,0,0,0,0,0,0,17,6,11,93,64,29,30428,11212,19216
232,12623,59500,30984,28516,6095,3246,2849,5955,3072,2883,0,0,0,50005,26692,23313,9495,4292,5203,19549,16827,2722,19180,16582,2598,10,10,0,29,29,0,616,545,71,18525,15998,2527,369,245,124,5,3,2,4,3,1,16,7,9,344,232,112,322,212,110,5,3,2,4,3,1,13,5,8,300,201,99,47,33,14,0,0,0,0,0,0,3,2,1,44,31,13,39951,14157,25794
231,14157,69959,36531,33428,7636,4139,3497,5758,3035,2723,0,0,0,57193,30588,26605,12766,5943,6823,22799,19701,3098,22307,19385,2922,21,20,1,35,29,6,933,865,68,21318,18471,2847,492,316,176,15,10,5,5,1,4,22,16,6,450,289,161,426,280,146,15,10,5,5,1,4,20,16,4,386,253,133,66,36,30,0,0,0,0,0,0,2,0,2,64,36,28,47160,16830,30330
230,13275,65237,34464,30773,7179,3838,3341,4909,2654,2255,0,0,0,52371,28507,23864,12866,5957,6909,21374,18666,2708,20715,18234,2481,20,15,5,91,82,9,581,500,81,20023,17637,2386,659,432,227,7,4,3,6,4,2,63,8,55,583,416,167,543,360,183,7,4,3,4,2,2,39,8,31,493,346,147,116,72,44,0,0,0,2,2,0,24,0,24,90,70,20,43863,15798,28065
229,12773,59503,31317,28186,5797,3153,2644,3648,1998,1650,0,0,0,49475,26211,23264,10028,5106,4922,21264,18174,3090,20539,17624,2915,36,33,3,54,51,3,933,862,71,19516,16678,2838,725,550,175,8,3,5,3,1,2,29,14,15,685,532,153,665,508,157,8,3,5,3,1,2,24,12,12,630,492,138,60,42,18,0,0,0,0,0,0,5,2,3,55,40,15,38239,13143,25096
228,11421,53278,27794,25484,4513,2392,2121,3246,1741,1505,0,0,0,45618,24047,21571,7660,3747,3913,20587,15947,4640,19904,15620,4284,18,13,5,24,19,5,821,737,84,19041,14851,4190,683,327,356,12,7,5,2,1,1,16,11,5,653,308,345,627,292,335,12,7,5,2,1,1,14,10,4,599,274,325,56,35,21,0,0,0,0,0,0,2,1,1,54,34,20,32691,11847,20844
227,14424,61930,32751,29179,6849,3604,3245,4388,2336,2052,0,0,0,50605,27585,23020,11325,5166,6159,23476,17934,5542,22674,17444,5230,17,11,6,58,46,12,512,440,72,22087,16947,5140,802,490,312,11,2,9,15,13,2,36,17,19,740,458,282,703,429,274,10,2,8,13,11,2,30,16,14,650,400,250,99,61,38,1,0,1,2,2,0,6,1,5,90,58,32,38454,14817,23637
226,10060,52133,27622,24511,6151,3226,2925,15071,7909,7162,0,0,0,38492,21675,16817,13641,5947,7694,17050,14482,2568,15781,13508,2273,28,20,8,47,39,8,704,619,85,15002,12830,2172,1269,974,295,46,33,13,20,16,4,58,39,19,1145,886,259,1117,858,259,42,29,13,12,9,3,46,31,15,1017,789,228,152,116,36,4,4,0,8,7,1,12,8,4,128,97,31,35083,13140,21943
225,11208,54339,28336,26003,4832,2589,2243,5728,3038,2690,0,0,0,45798,24349,21449,8541,3987,4554,20228,15582,4646,19788,15314,4474,13,7,6,37,25,12,310,281,29,19428,15001,4427,440,268,172,8,1,7,3,0,3,1,1,0,428,266,162,288,160,128,8,1,7,3,0,3,1,1,0,276,158,118,152,108,44,0,0,0,0,0,0,0,0,0,152,108,44,34111,12754,21357
224,12386,54032,29531,24501,6118,3283,2835,4789,2538,2251,0,0,0,44215,25031,19184,9817,4500,5317,18909,16117,2792,18185,15633,2552,42,34,8,517,376,141,750,679,71,16876,14544,2332,724,484,240,20,9,11,10,7,3,53,31,22,641,437,204,643,423,220,20,9,11,10,7,3,43,27,16,570,380,190,81,61,20,0,0,0,0,0,0,10,4,6,71,57,14,35123,13414,21709
223,17091,80196,43712,36484,9222,4977,4245,8500,4545,3955,0,0,0,65236,36976,28260,14960,6736,8224,26640,23191,3449,25657,22509,3148,36,33,3,87,74,13,697,591,106,24837,21811,3026,983,682,301,12,5,7,8,7,1,50,32,18,913,638,275,863,592,271,12,5,7,8,7,1,42,27,15,801,553,248,120,90,30,0,0,0,0,0,0,8,5,3,112,85,27,53556,20521,33035
222,9461,42499,22356,20143,3980,2123,1857,1439,745,694,0,0,0,37235,19872,17363,5264,2484,2780,15025,12316,2709,14512,11999,2513,15,13,2,38,28,10,591,544,47,13868,11414,2454,513,317,196,6,4,2,9,8,1,25,12,13,473,293,180,445,279,166,6,4,2,8,7,1,18,10,8,413,258,155,68,38,30,0,0,0,1,1,0,7,2,5,60,35,25,27474,10040,17434
221,13054,61165,32965,28200,6690,3527,3163,3863,2073,1790,0,0,0,49685,27553,22132,11480,5412,6068,21244,18135,3109,20584,17633,2951,49,46,3,535,345,190,861,802,59,19139,16440,2699,660,502,158,8,3,5,8,7,1,31,22,9,613,470,143,575,442,133,8,3,5,8,7,1,26,20,6,533,412,121,85,60,25,0,0,0,0,0,0,5,2,3,80,58,22,39921,14830,25091
220,13670,58762,30977,27785,6404,3359,3045,7093,3744,3349,0,0,0,46279,25391,20888,12483,5586,6897,21937,16842,5095,20926,16133,4793,24,16,8,416,236,180,649,544,105,19837,15337,4500,1011,709,302,9,3,6,14,11,3,51,32,19,937,663,274,767,523,244,9,3,6,11,9,2,41,25,16,706,486,220,244,186,58,0,0,0,3,2,1,10,7,3,231,177,54,36825,14135,22690
219,14056,66322,35260,31062,7124,3834,3290,14661,7851,6810,0,0,0,52619,29422,23197,13703,5838,7865,23425,18984,4441,22428,18325,4103,38,25,13,33,29,4,319,274,45,22038,17997,4041,997,659,338,31,15,16,7,6,1,27,18,9,932,620,312,809,524,285,29,14,15,6,5,1,23,16,7,751,489,262,188,135,53,2,1,1,1,1,0,4,2,2,181,131,50,42897,16276,26621
218,10311,49753,27125,22628,6737,3666,3071,6804,3586,3218,0,0,0,37208,21499,15709,12545,5626,6919,15827,14059,1768,14494,13008,1486,17,16,1,75,64,11,428,390,38,13974,12538,1436,1333,1051,282,8,3,5,21,17,4,53,30,23,1251,1001,250,1239,978,261,5,2,3,20,16,4,47,25,22,1167,935,232,94,73,21,3,1,2,1,1,0,6,5,1,84,66,18,33926,13066,20860
217,13002,58964,31506,27458,7042,3807,3235,5854,3149,2705,0,0,0,47278,26373,20905,11686,5133,6553,19405,16670,2735,18679,16116,2563,11,10,1,64,57,7,578,504,74,18026,15545,2481,726,554,172,5,4,1,4,2,2,39,31,8,678,517,161,665,507,158,4,4,0,4,2,2,34,27,7,623,474,149,61,47,14,1,0,1,0,0,0,5,4,1,55,43,12,39559,14836,24723
216,14380,65812,35175,30637,8411,4526,3885,13682,7360,6322,0,0,0,51216,28841,22375,14596,6334,8262,21970,18231,3739,21023,17654,3369,30,28,2,54,46,8,532,431,101,20407,17149,3258,947,577,370,11,5,6,7,3,4,80,23,57,849,546,303,816,506,310,11,5,6,5,1,4,65,20,45,735,480,255,131,71,60,0,0,0,2,2,0,15,3,12,114,66,48,43842,16944,26898
215,12426,57436,31003,26433,7320,3969,3351,15510,8277,7233,0,0,0,45577,25979,19598,11859,5024,6835,18071,15841,2230,17135,15077,2058,20,16,4,40,32,8,323,288,35,16752,14741,2011,936,764,172,11,5,6,9,8,1,27,18,9,889,733,156,820,672,148,10,4,6,7,6,1,25,16,9,778,646,132,116,92,24,1,1,0,2,2,0,2,2,0,111,87,24,39365,15162,24203
214,11699,49721,26579,23142,6141,3280,2861,4448,2387,2061,0,0,0,39026,21711,17315,10695,4868,5827,18360,14493,3867,17598,13932,3666,23,15,8,63,44,19,349,289,60,17163,13584,3579,762,561,201,12,8,4,12,9,3,25,14,11,713,530,183,604,438,166,11,7,4,5,4,1,12,6,6,576,421,155,158,123,35,1,1,0,7,5,2,13,8,5,137,109,28,31361,12086,19275
213,9480,48771,25674,23097,6516,3442,3074,24961,13017,11944,0,0,0,32484,18771,13713,16287,6903,9384,16046,13375,2671,14646,12398,2248,12,10,2,40,33,7,468,346,122,14126,12009,2117,1400,977,423,10,1,9,7,4,3,37,17,20,1346,955,391,1147,785,362,10,1,9,6,3,3,27,15,12,1104,766,338,253,192,61,0,0,0,1,1,0,10,2,8,242,189,53,32725,12299,20426
212,15516,70784,38106,32678,9015,4764,4251,5340,2856,2484,0,0,0,54786,31304,23482,15998,6802,9196,24027,19992,4035,23470,19615,3855,111,96,15,84,67,17,607,480,127,22668,18972,3696,557,377,180,6,3,3,4,4,0,31,17,14,516,353,163,487,328,159,5,2,3,4,4,0,24,13,11,454,309,145,70,49,21,1,1,0,0,0,0,7,4,3,62,44,18,46757,18114,28643
211,11210,58402,30802,27600,7399,3852,3547,21244,11109,10135,0,0,0,40504,23162,17342,17898,7640,10258,18416,15605,2811,16975,14575,2400,14,10,4,82,72,10,279,213,66,16600,14280,2320,1441,1030,411,18,10,8,14,13,1,31,15,16,1378,992,386,1246,870,376,18,10,8,12,11,1,22,9,13,1194,840,354,195,160,35,0,0,0,2,2,0,9,6,3,184,152,32,39986,15197,24789
210,11171,59678,31139,28539,7493,3985,3508,33296,17164,16132,0,0,0,42985,24422,18563,16693,6717,9976,18791,15901,2890,16557,14159,2398,13,11,2,51,40,11,425,327,98,16068,13781,2287,2234,1742,492,12,5,7,13,9,4,53,29,24,2156,1699,457,1852,1465,387,12,5,7,13,9,4,43,22,21,1784,1429,355,382,277,105,0,0,0,0,0,0,10,7,3,372,270,102,40887,15238,25649
209,10650,52676,27557,25119,6090,3206,2884,16726,8696,8030,0,0,0,40056,22418,17638,12620,5139,7481,17086,13982,3104,16119,13259,2860,18,14,4,70,52,18,371,305,66,15660,12888,2772,967,723,244,18,13,5,14,6,8,37,29,8,898,675,223,815,602,213,18,13,5,14,6,8,29,23,6,754,560,194,152,121,31,0,0,0,0,0,0,8,6,2,144,115,29,35590,13575,22015
208,12109,53659,28528,25131,6667,3501,3166,2189,1158,1031,0,0,0,42088,23336,18752,11571,5192,6379,18585,14889,3696,17656,14254,3402,50,43,7,48,38,10,301,255,46,17257,13918,3339,929,635,294,12,5,7,12,8,4,22,20,2,883,602,281,862,585,277,12,5,7,11,7,4,20,18,2,819,555,264,67,50,17,0,0,0,1,1,0,2,2,0,64,47,17,35074,13639,21435
207,21672,104427,56559,47868,15337,8046,7291,22816,12090,10726,0,0,0,68456,41296,27160,35971,15263,20708,31952,28148,3804,28838,25706,3132,184,175,9,387,324,63,480,397,83,27787,24810,2977,3114,2442,672,27,20,7,107,87,20,111,88,23,2869,2247,622,2539,2000,539,24,17,7,102,83,19,90,73,17,2323,1827,496,575,442,133,3,3,0,5,4,1,21,15,6,546,420,126,72475,28411,44064
206,16440,86392,46513,39879,11676,6101,5575,3094,1613,1481,0,0,0,66252,37281,28971,20140,9232,10908,26099,22645,3454,24250,21268,2982,51,46,5,91,80,11,598,567,31,23510,20575,2935,1849,1377,472,28,15,13,10,8,2,53,44,9,1758,1310,448,1667,1230,437,27,14,13,8,6,2,46,39,7,1586,1171,415,182,147,35,1,1,0,2,2,0,7,5,2,172,139,33,60293,23868,36425
205,13782,74750,40170,34580,10504,5449,5055,3147,1621,1526,0,0,0,53800,30458,23342,20950,9712,11238,22449,19581,2868,20801,18420,2381,29,27,2,114,101,13,1107,1037,70,19551,17255,2296,1648,1161,487,24,14,10,10,9,1,85,57,28,1529,1081,448,1449,1024,425,23,14,9,9,8,1,80,53,27,1337,949,388,199,137,62,1,0,1,1,1,0,5,4,1,192,132,60,52301,20589,31712
204,13798,68088,36947,31141,9418,5072,4346,8465,4504,3961,0,0,0,52035,30333,21702,16053,6614,9439,20782,18918,1864,19751,18134,1617,58,55,3,82,66,16,448,408,40,19163,17605,1558,1031,784,247,13,8,5,19,16,3,28,19,9,971,741,230,855,649,206,12,8,4,15,12,3,26,18,8,802,611,191,176,135,41,1,0,1,4,4,0,2,1,1,169,130,39,47306,18029,29277
203,14010,69273,37190,32083,9386,4932,4454,20577,10843,9734,0,0,0,48408,28536,19872,20865,8654,12211,22129,18917,3212,20195,17471,2724,31,28,3,80,72,8,483,409,74,19601,16962,2639,1934,1446,488,24,20,4,28,18,10,81,44,37,1801,1364,437,1629,1234,395,22,18,4,24,14,10,69,39,30,1514,1163,351,305,212,93,2,2,0,4,4,0,12,5,7,287,201,86,47144,18273,28871
202,16757,83328,45095,38233,11440,6092,5348,8198,4365,3833,0,0,0,63324,36915,26409,20004,8180,11824,23789,22041,1748,22545,21067,1478,37,29,8,96,90,6,436,387,49,21976,20561,1415,1244,974,270,12,8,4,21,16,5,41,19,22,1170,931,239,1112,880,232,12,8,4,17,14,3,26,15,11,1057,843,214,132,94,38,0,0,0,4,2,2,15,4,11,113,88,25,59539,23054,36485
201,22262,115805,62335,53470,17160,9165,7995,8741,4655,4086,0,0,0,84188,49071,35117,31617,13264,18353,32324,30117,2207,30695,28805,1890,158,154,4,212,185,27,605,522,83,29720,27944,1776,1629,1312,317,6,5,1,32,31,1,62,43,19,1529,1233,296,1360,1095,265,5,4,1,29,28,1,53,36,17,1273,1027,246,269,217,52,1,1,0,3,3,0,9,7,2,256,206,50,83481,32218,51263
200,9412,43609,25114,18495,5912,3125,2787,12731,7058,5673,0,0,0,29042,18760,10282,14567,6354,8213,15481,13704,1777,14139,12725,1414,10,9,1,143,131,12,615,485,130,13371,12100,1271,1342,979,363,7,5,2,14,12,2,70,31,39,1251,931,320,1232,900,332,7,5,2,14,12,2,65,29,36,1146,854,292,110,79,31,0,0,0,0,0,0,5,2,3,105,77,28,28128,11410,16718
199,9650,42508,24773,17735,5840,3086,2754,7217,4057,3160,0,0,0,29314,19122,10192,13194,5651,7543,14925,13696,1229,13587,12609,978,13,13,0,137,120,17,220,191,29,13217,12285,932,1338,1087,251,3,3,0,30,29,1,14,10,4,1291,1045,246,1199,981,218,3,3,0,30,29,1,9,6,3,1157,943,214,139,106,33,0,0,0,0,0,0,5,4,1,134,102,32,27583,11077,16506
198,10992,54005,29076,24929,7642,4100,3542,13940,7406,6534,0,0,0,39648,23077,16571,14357,5999,8358,16138,14321,1817,14636,13169,1467,17,13,4,52,47,5,308,262,46,14259,12847,1412,1502,1152,350,28,21,7,38,28,10,69,50,19,1367,1053,314,1369,1058,311,28,21,7,34,24,10,66,49,17,1241,964,277,133,94,39,0,0,0,4,4,0,3,1,2,126,89,37,37867,14755,23112
197,13304,59295,32962,26333,8081,4293,3788,9116,4925,4191,0,0,0,41039,24759,16280,18256,8203,10053,20833,17933,2900,19861,17163,2698,16,12,4,59,50,9,452,312,140,19334,16789,2545,972,770,202,12,10,2,9,6,3,25,16,9,926,738,188,777,596,181,11,10,1,9,6,3,22,14,8,735,566,169,195,174,21,1,0,1,0,0,0,3,2,1,191,172,19,38462,15029,23433
196,10798,49746,26843,22903,5057,2739,2318,5064,2733,2331,0,0,0,40162,22584,17578,9584,4259,5325,18338,15013,3325,17485,14380,3105,35,25,10,14,10,4,520,429,91,16916,13916,3000,853,633,220,2,0,2,1,0,1,44,34,10,806,599,207,771,577,194,2,0,2,1,0,1,40,31,9,728,546,182,82,56,26,0,0,0,0,0,0,4,3,1,78,53,25,31408,11830,19578
195,11362,53579,28910,24669,6018,3180,2838,7718,4209,3509,0,0,0,39694,23106,16588,13885,5804,8081,18422,15579,2843,17351,14804,2547,36,33,3,149,105,44,354,306,48,16812,14360,2452,1071,775,296,15,11,4,40,24,16,34,13,21,982,727,255,775,557,218,14,10,4,25,14,11,21,10,11,715,523,192,296,218,78,1,1,0,15,10,5,13,3,10,267,204,63,35157,13331,21826
194,9093,37893,19861,18032,3090,1646,1444,3422,1784,1638,0,0,0,32827,17428,15399,5066,2433,2633,15274,11528,3746,14828,11244,3584,10,7,3,32,23,9,352,289,63,14434,10925,3509,446,284,162,2,1,1,0,0,0,11,8,3,433,275,158,402,265,137,2,1,1,0,0,0,9,7,2,391,257,134,44,19,25,0,0,0,0,0,0,2,1,1,42,18,24,22619,8333,14286
193,11651,48414,27400,21014,4829,2584,2245,5484,3087,2397,0,0,0,35479,20640,14839,12935,6760,6175,20448,16728,3720,18973,15583,3390,20,14,6,31,27,4,366,301,65,18556,15241,3315,1475,1145,330,9,8,1,5,3,2,34,20,14,1427,1114,313,1256,964,292,9,8,1,4,2,2,28,16,12,1215,938,277,219,181,38,0,0,0,1,1,0,6,4,2,212,176,36,27966,10672,17294
192,9190,39703,20135,19568,2966,1536,1430,1210,625,585,0,0,0,34488,17671,16817,5215,2464,2751,17019,12150,4869,16173,11630,4543,41,28,13,33,22,11,597,481,116,15502,11099,4403,846,520,326,9,6,3,6,2,4,21,15,6,810,497,313,798,490,308,9,6,3,6,2,4,18,13,5,765,469,296,48,30,18,0,0,0,0,0,0,3,2,1,45,28,17,22684,7985,14699
191,15066,61669,32770,28899,5993,3181,2812,7360,3890,3470,0,0,0,50990,28005,22985,10679,4765,5914,24457,18568,5889,23703,18006,5697,36,27,9,49,39,10,529,451,78,23089,17489,5600,754,562,192,10,6,4,4,2,2,15,10,5,725,544,181,664,500,164,9,5,4,4,2,2,12,10,2,639,483,156,90,62,28,1,1,0,0,0,0,3,0,3,86,61,25,37212,14202,23010
190,12903,50146,25283,24863,3830,2007,1823,3146,1600,1546,0,0,0,44549,22758,21791,5597,2525,3072,20399,14429,5970,19574,13895,5679,53,38,15,57,38,19,340,275,65,19124,13544,5580,825,534,291,12,5,7,9,8,1,23,17,6,781,504,277,754,488,266,10,4,6,9,8,1,23,17,6,712,459,253,71,46,25,2,1,1,0,0,0,0,0,0,69,45,24,29747,10854,18893
